timestamp,thames_ditton
2026-02-23 15:00:00+00:00,5.326
2026-02-23 15:15:00+00:00,5.335
2026-02-23 15:30:00+00:00,5.327
2026-02-23 15:45:00+00:00,5.321
2026-02-23 16:00:00+00:00,5.324
2026-02-23 16:15:00+00:00,5.32
2026-02-23 16:30:00+00:00,5.316
2026-02-23 16:45:00+00:00,5.32
2026-02-23 17:00:00+00:00,5.322
2026-02-23 17:15:00+00:00,5.323
2026-02-23 17:30:00+00:00,5.329
2026-02-23 17:45:00+00:00,5.336
2026-02-23 18:00:00+00:00,5.347
2026-02-23 18:15:00+00:00,5.377
2026-02-23 18:30:00+00:00,5.425
2026-02-23 18:45:00+00:00,5.484
2026-02-23 19:00:00+00:00,5.536
2026-02-23 19:15:00+00:00,5.573
2026-02-23 19:30:00+00:00,5.584
2026-02-23 19:45:00+00:00,5.58
2026-02-23 20:00:00+00:00,5.559
2026-02-23 20:15:00+00:00,5.541
2026-02-23 20:30:00+00:00,5.524
2026-02-23 20:45:00+00:00,5.506
2026-02-23 21:00:00+00:00,5.491
2026-02-23 21:15:00+00:00,5.478
2026-02-23 21:30:00+00:00,5.468
2026-02-23 21:45:00+00:00,5.461
2026-02-23 22:00:00+00:00,5.449
2026-02-23 22:15:00+00:00,5.446
2026-02-23 22:30:00+00:00,5.438
2026-02-23 22:45:00+00:00,5.437
2026-02-23 23:00:00+00:00,5.436
2026-02-23 23:15:00+00:00,5.433
2026-02-23 23:30:00+00:00,5.434
2026-02-23 23:45:00+00:00,5.43
2026-02-24 00:00:00+00:00,5.423
2026-02-24 00:15:00+00:00,5.423
2026-02-24 00:30:00+00:00,5.42
2026-02-24 00:45:00+00:00,5.415
2026-02-24 01:00:00+00:00,5.417
2026-02-24 01:15:00+00:00,5.407
2026-02-24 01:30:00+00:00,5.407
2026-02-24 01:45:00+00:00,5.403
2026-02-24 02:00:00+00:00,5.399
2026-02-24 02:15:00+00:00,5.397
2026-02-24 02:30:00+00:00,5.391
2026-02-24 02:45:00+00:00,5.385
2026-02-24 03:00:00+00:00,5.378
2026-02-24 03:15:00+00:00,5.373
2026-02-24 03:30:00+00:00,5.371
2026-02-24 03:45:00+00:00,5.37
2026-02-24 04:00:00+00:00,5.36
2026-02-24 04:15:00+00:00,5.359
2026-02-24 04:30:00+00:00,5.352
2026-02-24 04:45:00+00:00,5.35
